rgb,depth,ir,label
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\1.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\1.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\1.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\101.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\101.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\101.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\11.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\11.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\11.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\111.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\111.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\111.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\121.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\121.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\121.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\131.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\131.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\131.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\141.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\141.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\141.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\151.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\151.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\151.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\161.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\161.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\161.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\171.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\171.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\171.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\181.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\181.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\181.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\191.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\191.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\191.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\21.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\21.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\21.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\31.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\31.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\31.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\41.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\41.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\41.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\51.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\51.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\51.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\61.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\61.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\61.jpg,0
fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\color\71.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\depth\71.jpg,fake_part\fake_val_part\CLKJ_AS0010\04_en_b.rssdk\ir\71.jpg,0
